year,semester,carleton_code,uottawa_code,course_name,professor,outline_link
2015,winter,COMP 4501,,Advanced Facilities for Real-Time Games,Wilf LaLonde,https://service.scs.carleton.ca/sites/default/files/course_outlines/4501.2015.Description.docx
2015,winter,COMP 4601A,,Mobile Multimedia,Tony White,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP-4601.html
2015,winter,COMP 4900,,Computational Logic and Automated Reasoning,Leopoldo Bertossi,https://service.scs.carleton.ca/sites/default/files/course_outlines/syllCompLogic15.pdf
2015,winter,COMP 5000,DATA 5000,Introduction to Data Science,Boyan Bejanov,https://service.scs.carleton.ca/sites/default/files/course_outlines/DATA5000outline.pdf
2015,winter,COMP 5008,,Computational Geometry,Michiel Smid,https://service.scs.carleton.ca/sites/default/files/course_outlines/outline_13.pdf
2015,winter,COMP 5102,COMP 4000,Distributed Operating Systems,Anil Somayaji,https://service.scs.carleton.ca/sites/default/files/course_outlines/Distributed%20OS_%20Winter%202015%20Course%20Outline.pdf
2015,winter,COMP 5209A,,Visual Analytics,Robert Biddle,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp5209-outline-2015w.pdf
2015,winter,COMP 5305W,,Advanced Databases,Mengchi Liu,https://service.scs.carleton.ca/sites/default/files/course_outlines/5305-15Woutline.docx
2015,winter,COMP 5402,,Protocols for Mobile and Wireless Networks,Michel Barbeau,https://service.scs.carleton.ca/sites/default/files/course_outlines/CourseOutline5402_1.pdf
2015,winter,COMP 5407W,,Authentication and Software Security,P. Van Oorschot,https://service.scs.carleton.ca/sites/default/files/course_outlines/5407jan2015-outline.html
2015,winter,COMP 5900Y,,Geometry Processing,Oliver Van Kaick,https://service.scs.carleton.ca/sites/default/files/course_outlines/GeomProcOutline.pdf
2015,summer,COMP 1006,1406,Introduction​ ​to​ ​Computer​ ​Science II,Andrew Schoenrock,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp_1406_summer_2015.pdf
2015,summer,COMP 1405A,1005,Introduction to Computer Science I,M. Jason Hinek,https://service.scs.carleton.ca/sites/default/files/course_outlines/1405-S15-v2.1.pdf
2015,fall,COMP 1001A,,Introduction to Computational Thinking for Arts and Social Sciences,Andrew Polk,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP1001Fall2015CourseOutline.pdf
2015,fall,COMP 1005A,,Introduction to Computer Science I,Andrew Runka,https://service.scs.carleton.ca/sites/default/files/course_outlines/Outline.pdf
2015,fall,COMP 1405A,COMP 1405M,Introduction to Computer Science I,Mark Lanthier,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP1405-CourseOutline%28F2015%29.pdf
2015,fall,COMP 1405B,,Introduction to Computer Science I,Robert Collier,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP1405-F15-W00-01-%28Course%20Outline%29.pdf
2015,fall,COMP 1406A,1006,Introduction to Computer Science II,Louis Nel,https://service.scs.carleton.ca/sites/default/files/course_outlines/1406fall2015outline.html
2015,fall,COMP 1805A,,Discrete Structures I,M. Jason Hinek,https://service.scs.carleton.ca/sites/default/files/course_outlines/F15-1805v2.pdf
2015,fall,COMP 2401A,,Introduction to Systems Programming,Christine Laurendeau,https://service.scs.carleton.ca/sites/default/files/course_outlines/outline_15.pdf
2015,fall,COMP 2401B,,Introduction to System Programming ,Doron Nussbaum,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp_2401_course_outline_fall_2015_0.pdf
2015,fall,COMP 2402A,,Abstract Data Types and Algorithms,M. Jason Hinek,https://service.scs.carleton.ca/sites/default/files/course_outlines/F15-2402-v3%20_0.pdf
2015,fall,COMP 2402B,,Abstract Data Types and Algorithms,Robert Collier,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP2402B-F15-W00-01-%28Course%20Outline%29_0.pdf
2015,fall,COMP 2404A,,Introduction to Software Engineering,Christine Laurendeau,https://service.scs.carleton.ca/sites/default/files/course_outlines/outline_16.pdf
2015,fall,COMP 2406A,,Fundamentals of Web Applications,Louis Nel,https://service.scs.carleton.ca/sites/default/files/course_outlines/2406fall2015outline.html
2015,fall,COMP 2804A,,Discrete Structures II,Michiel Smid,https://service.scs.carleton.ca/sites/default/files/course_outlines/outline_17.pdf
2015,fall,COMP 2807A,,Fundamentals of Mobile Robot Programming,Mark Lanthier,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP2807-CourseOutline%28F2015%29.pdf
2015,fall,COMP 3000,,Operating Systems,Anil Somayaji,https://service.scs.carleton.ca/sites/default/files/course_outlines/Operating%20Systems%20%28Fall%202015%29%20Course%20Outline_0.pdf
2015,fall,COMP 3004A,,Object-Oriented Software Engineering,Christine Laurendeau,https://service.scs.carleton.ca/sites/default/files/course_outlines/outline_12.pdf
2015,fall,COMP 3005A,,Database Management Systems,Louis Nel,https://service.scs.carleton.ca/sites/default/files/course_outlines/3005fall2015outline.html
2015,fall,COMP 3007,,Programming Paradigms,Douglas J. Howe,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP%203007.pdf
2015,fall,COMP 3009A,,Computer Graphics,Doron Nussbaum,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp_3009_outline_2015.pdf
2015,fall,COMP 3203,,Principles of Computer Networks,Michel Barbeau,https://service.scs.carleton.ca/sites/default/files/course_outlines/CourseOutline3203_0.pdf
2015,fall,COMP 3301A,,Technical Writing,David Mould,https://service.scs.carleton.ca/sites/default/files/course_outlines/3301-2015.pdf
2015,fall,COMP 3501A,,Foundations of Game Programming and Computer Graphics,Oliver Van Kaick,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP3501_Outline_0.pdf
2015,fall,COMP 3601A,,Social Networking,Dwight Deugo,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP3601-Outline.pdf
